0,482,20150301
1,449,20150302
2,474,20150303
3,458,20150304
4,398,20150305
5,415,20150306
6,550,20150307
7,453,20150308
8,411,20150309
9,481,20150310
10,569,20150311
11,725,20150312
12,692,20150313
13,558,20150314
14,791,20150315
15,594,20150316
16,644,20150317
17,423,20150318
18,433,20150319
19,392,20150320
20,635,20150321
21,759,20150322
22,647,20150323
23,594,20150324
24,737,20150325
25,633,20150326
26,746,20150327
27,575,20150328
28,713,20150329
29,779,20150330
30,701,20150331
31,731,20150401
32,954,20150402
33,774,20150403
34,668,20150404
35,622,20150405
36,671,20150406
37,718,20150407
38,802,20150408
39,882,20150409
40,892,20150410
41,900,20150411
42,985,20150412
43,692,20150413
44,691,20150414
45,664,20150415
46,854,20150416
47,774,20150417
48,810,20150418
49,811,20150419
50,697,20150420
51,882,20150421
52,890,20150422
53,704,20150423
54,795,20150424
55,614,20150425
56,661,20150426
57,633,20150427
58,619,20150428
59,620,20150429
60,590,20150430
61,492,20150501
62,477,20150502
63,547,20150503
64,528,20150504
65,476,20150505
66,580,20150506
67,548,20150507
68,461,20150508
69,474,20150509
70,422,20150510
71,414,20150511
72,520,20150512
73,532,20150513
74,744,20150514
75,705,20150515
76,619,20150516
77,633,20150517
78,507,20150518
79,492,20150519
80,540,20150520
81,460,20150521
82,624,20150522
83,445,20150523
84,426,20150524
85,467,20150525
86,562,20150526
87,376,20150527
88,447,20150528
89,461,20150529
90,457,20150530
91,437,20150531
92,505,20150601
93,424,20150602
94,443,20150603
95,465,20150604
96,453,20150605
97,370,20150606
98,410,20150607
99,471,20150608
100,553,20150609
101,420,20150610
102,488,20150611
103,412,20150612
104,395,20150613
105,400,20150614
106,413,20150615
107,323,20150616
108,471,20150617
109,432,20150618
110,397,20150619
111,390,20150620
112,515,20150621
113,382,20150622
114,412,20150623
115,522,20150624
116,456,20150625
117,455,20150626
118,402,20150627
119,395,20150628
120,415,20150629
121,414,20150630
122,440,20150701
123,571,20150702
124,376,20150703
125,383,20150704
126,429,20150705
127,455,20150706
128,434,20150707
129,402,20150708
130,433,20150709
131,323,20150710
132,417,20150711
133,406,20150712
134,413,20150713
135,498,20150714
136,436,20150715
137,465,20150716
138,564,20150717
139,350,20150718
140,351,20150719
141,341,20150720
142,280,20150721
143,357,20150722
144,407,20150723
145,372,20150724
146,329,20150725
147,385,20150726
148,393,20150727
149,424,20150728
150,417,20150729
151,591,20150730
152,536,20150731
153,530,20150801
154,407,20150802
155,479,20150803
156,665,20150804
157,449,20150805
158,609,20150806
159,526,20150807
160,425,20150808
161,483,20150809
162,454,20150810
163,484,20150811
164,390,20150812
165,407,20150813
166,517,20150814
167,359,20150815
168,394,20150816
169,398,20150817
170,443,20150818
171,541,20150819
172,529,20150820
173,469,20150821
174,430,20150822
175,394,20150823
176,476,20150824
177,516,20150825
178,340,20150826
179,443,20150827
180,414,20150828
181,403,20150829
182,454,20150830
